ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
Pard3,-0.510731757,9.068807233,,0.029944371,0.570516335,
Timm22,0.693810052,9.21865919,,0.000542668,0.128539949,
Tmem151b,-0.509447029,9.146058265,,0.023688603,0.558519709,
Gm4876,-0.508679445,9.207328918,,0.015656379,0.48938812,
Dnm2,-0.508376025,9.152299405,,0.023293937,0.555123388,
Srp72,-0.50649816,9.157897717,,0.02287092,0.552430299,
Gm29595,-0.505187504,9.007942786,,0.007222105,0.388790008,
Prc1,0.784764538,9.065230735,,0.000572629,0.132255366,
Zfp330,-0.504837638,9.088019574,,0.03170754,0.570516335,
Ccdc134,-0.504371967,9.014717375,,0.013551553,0.475802077,
Sdhaf1,-0.504005365,9.170089427,,0.021961247,0.54820828,
Cwc27,-0.503193235,9.088093294,,0.031707539,0.570516335,
Dok7,-0.502645108,9.014623888,,0.013551552,0.475802077,
Slc35a3,-0.501954448,9.014462435,,0.013551553,0.475802077,
Bud13,-0.501648302,9.014506765,,0.013551552,0.475802077,
Azin1,-0.499320928,9.263801803,,0.011931514,0.463202885,
Lcmt2,-0.498642368,9.028142864,,0.024496597,0.558519709,
Mmp14,-0.498131829,9.027788744,,0.024496598,0.558519709,
Lurap1l,-0.498095948,9.112928693,,0.031563007,0.570516335,
Prosc,-0.498094989,9.107012686,,0.031785839,0.570516335,
Dda1,-0.497779031,9.199419878,,0.019499915,0.525034595,
Plekha6,-0.497673784,9.021114785,,0.019427674,0.525034595,
Atp6ap1l,-0.497111533,9.028010186,,0.024496597,0.558519709,
Stub1,-0.496645758,9.420566721,,0.004811433,0.321889904,
Cyp4f13,-0.495307227,9.034378857,,0.028698368,0.570516335,
Gm10250,-0.49508047,9.119364498,,0.031248513,0.570516335,
Mecr,-0.494321016,9.034453516,,0.028698368,0.570516335,
Rwdd3,-0.494005114,9.034399017,,0.028698368,0.570516335,
Socs4,-0.493109416,9.034392793,,0.028698368,0.570516335,
Pspc1,-0.492939253,9.131431454,,0.030404522,0.570516335,
Rqcd1,-0.492724019,9.03428673,,0.028698367,0.570516335,
Aggf1,-0.492069686,9.131165025,,0.030404522,0.570516335,
Med10,-0.491042702,9.325046811,,0.008742302,0.418136572,
Qsox1,-0.4905711,9.047715543,,0.0347621,0.593721269,
Glrx2,-0.489664808,9.245780041,,0.015605744,0.48938812,
Zfp593,-0.489655991,9.040837029,,0.032088738,0.570516335,
Psmb10,-0.488402734,9.155817355,,0.028168873,0.570516335,
Pde2a,-0.48809407,9.054002939,,0.036819203,0.598255924,
Nptx2,-0.487951406,9.047324045,,0.0347621,0.593721269,
Prpf4,-0.487540879,9.06053889,,0.038354348,0.605852346,
Fam212b,-0.486781677,9.35615874,,0.008738165,0.418136572,
Ifrd1,-0.486724068,9.16173813,,0.027543892,0.570516335,
Prmt6,-0.486259282,9.060430134,,0.038354347,0.605852346,
2610044O15Rik8,-0.485716654,9.060473099,,0.038354347,0.605852346,
Repin1,-0.485133398,9.066857674,,0.039451021,0.612986059,
Strip1,-0.485122144,9.066984134,,0.039451021,0.612986059,
Spg20,-0.484637389,9.073506838,,0.040181175,0.615205426,
Oard1,-0.484485825,9.067024861,,0.039451021,0.612986059,
Chst11,-0.484174095,9.179707036,,0.025600139,0.569669904,
Dynlt1c,-0.483151467,9.185960585,,0.024942355,0.563263898,
Plpp1,-0.48287361,9.073298938,,0.040181175,0.615205426,
Sapcd2,-0.481881325,9.40227887,,0.008163006,0.411644195,
Srebf1,-0.481580364,9.085859809,,0.04077703,0.615205426,
Yrdc,-0.481566861,9.07960263,,0.040605969,0.615205426,
Wbp1,-0.480965956,9.085930508,,0.04077703,0.615205426,
Snx16,-0.48061026,9.086079657,,0.040777029,0.615205426,
Eif2a,-0.480469255,9.20904537,,0.022335768,0.549464228,
Sdhaf3,-0.480073382,9.092553762,,0.040737798,0.615205426,
Gfra2,-0.479468915,9.092567346,,0.040737798,0.615205426,
Mrpl17,-0.478835516,9.333502403,,0.009441664,0.435665353,
Hacd1,-0.478698737,9.322432651,,0.010231617,0.445062859,
Bcas1,-0.47837578,9.220722732,,0.021072906,0.532265657,
Fars2,-0.81387236,9.073154878,,0.000583595,0.132255366,
Hdac5,-0.47781488,9.098321391,,0.040524787,0.615205426,
Zc3h18,-0.476713645,9.111126712,,0.039695323,0.613820498,
Abhd16a,-0.476383268,9.244015727,,0.018673726,0.525034595,
Arfgap1,-0.475852076,9.110437634,,0.039695323,0.613820498,
