ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
Cbfb,0.340388314,8.676742636,,0.120436273,0.778374741,
Arhgef10,0.386244627,8.427600221,,0.120979318,0.778374741,
Sumo2,0.209511219,10.21096426,,0.121138651,0.778374741,
Ankrd44,0.410223489,8.436668581,,0.121170443,0.778374741,
Tril,0.327020217,8.804526463,,0.121332318,0.778374741,
Plekha1,0.413827825,8.627520421,,0.121357873,0.778374741,
Ppp3ca,0.300669841,8.91645946,,0.122178212,0.778374741,
Copb1,-0.345610104,8.582063731,,0.12314604,0.778374741,
Copa,-0.383508676,8.423748195,,0.123297571,0.778374741,
Prpf40a,0.33286881,8.648980011,,0.123464828,0.778374741,
Ttyh2,0.390126857,8.951597866,,0.124890066,0.778374741,
Lsm4,0.348513381,8.562719923,,0.125279425,0.778374741,
Vmp1,0.314274612,8.77986481,,0.126102274,0.778777072,
Papola,0.37456161,8.472268663,,0.126323113,0.779615929,
Jmjd1c,-0.407303952,8.400594459,,0.126426739,0.779730751,
Peli1,0.316509756,9.792907574,,0.126748963,0.7811622,
Smim14,0.330643652,8.665414342,,0.127381371,0.7811622,
Yipf1,-0.299929258,8.832116435,,0.127439628,0.7811622,
Elovl7,0.331953442,9.232831134,,0.127666556,0.781595448,
Aldoa,0.2562751,9.313478987,,0.128263948,0.781659139,
B230219D22Rik,0.346508871,8.602365982,,0.128359541,0.781659139,
Tmem167,0.254536377,9.354041488,,0.129708157,0.781659139,
Calm1,0.238602541,10.095486,,0.129742261,0.781659139,
Card19,-0.341650099,8.721432942,,0.130030223,0.781659139,
Dennd5a,-0.393786761,8.418637157,,0.131261663,0.781659139,
Slc6a8,0.394180266,8.523861667,,0.131726424,0.781659139,
Idh1,0.353866893,9.320566097,,0.132258122,0.781659139,
Asah1,-0.315047076,8.763668357,,0.134198205,0.781659139,
Prdx2,0.219266614,10.47111334,,0.13426847,0.781659139,
Ptges3,0.330250576,8.701741395,,0.13591416,0.781659139,
Mbd3,0.369434894,8.451944182,,0.135958596,0.781659139,
Romo1,0.300249618,8.847402291,,0.135997472,0.781659139,
Tmed4,0.359410411,8.509784053,,0.136114889,0.781659139,
Cops4,-0.362915546,8.419334882,,0.136361623,0.781819728,
Srpk1,0.378478027,8.408389929,,0.136398601,0.781819728,
Phyhipl,0.242554726,10.85653514,,0.137204377,0.785456518,
Stx7,0.269299978,9.163262416,,0.138172464,0.789520041,
Lamtor4,0.336606151,8.542179665,,0.138572034,0.791016562,
Snrpb,0.291246726,8.948293518,,0.139549797,0.792452749,
1110004F10Rik,0.252366181,9.262092279,,0.140472298,0.793187012,
Tomm22,0.287693267,8.871548676,,0.140994228,0.793187012,
Rbbp6,0.321980579,8.658249196,,0.141041933,0.793187012,
Bcar1,0.322071312,8.713097119,,0.141625818,0.793187012,
Psma2,0.274187645,9.084923139,,0.141704712,0.793187012,
Ngfrap1,0.253320636,9.365720946,,0.142236683,0.793187012,
G0s2,-0.352353633,8.807824907,,0.142273758,0.793187012,
Srp9,0.338901478,8.562804049,,0.142469994,0.79379849,
Clta,0.262730897,9.035002622,,0.143012174,0.795369707,
Smox,0.35329231,8.555199453,,0.143899294,0.799818441,
Ccny,0.36821678,8.408325906,,0.144301343,0.800459136,
Atp5b,0.200984023,10.23691975,,0.147266079,0.807549399,
Clcn3,0.320978984,8.649785976,,0.147294658,0.807549399,
Epcam,0.361872625,8.721665353,,0.147770136,0.807549399,
Fam177a,0.390929144,8.537774211,,0.148333934,0.807549399,
Dhcr24,0.388882394,8.435188673,,0.148486154,0.807549399,
Arl8a,0.344271392,8.546841203,,0.148716638,0.807549399,
Birc6,0.364744825,8.417588955,,0.149250388,0.807549399,
Mapre2,-0.395333468,8.450382117,,0.149526928,0.807549399,
Ostc,0.315563821,8.647633731,,0.149581885,0.807549399,
Maged1,0.253867118,9.270757819,,0.151470201,0.811084116,
Med21,0.324701143,8.568163472,,0.151617775,0.811084116,
Vps29,0.285927672,8.918700997,,0.151935231,0.811084116,
Ndufs1,-0.351088181,8.442939061,,0.152225913,0.811084116,
Idh3a,-0.358046776,8.455351419,,0.15228259,0.811084116,
Clcn4,0.314140412,8.722349491,,0.153478991,0.811084116,
0610009B22Rik,-0.356148829,8.445898408,,0.153601528,0.811084116,
Psap,0.216345823,10.25693613,,0.153876944,0.811084116,
Pak4,-0.264683034,9.324464398,,0.153983369,0.811084116,
Srsf1,0.322574383,8.589687032,,0.154878658,0.811084116,
Ufc1,0.348816114,8.407761843,,0.15495984,0.811084116,
Anks1b,0.384498642,8.643353981,,0.156771043,0.811084116,
Rtn4,0.25283747,10.37201254,,0.156992297,0.811084116,
Arl1,0.326965594,8.497773011,,0.157107755,0.811084116,
Nlgn3,-0.249015789,9.184980869,,0.157174211,0.811084116,
Rplp2,0.203213795,10.02680534,,0.157859172,0.811084116,
Selt,0.25615601,9.053713352,,0.158109828,0.811084116,
Mff,0.24382028,9.208803314,,0.159380482,0.811084116,
Papss1,0.235207783,9.137888661,,0.159570432,0.811084116,
Pfn1,0.207523858,10.11727296,,0.160211772,0.811084116,
Nudc,0.285870659,8.760831436,,0.160726562,0.811084116,
Mtch1,0.344022083,8.493623653,,0.160788936,0.811084116,
Uba2,0.306719269,8.662525706,,0.160930127,0.811084116,
Rab14,0.206546902,9.589919558,,0.161001523,0.811084116,
Rpl23a,0.210877315,10.02617374,,0.161841764,0.811084116,
Ago3,0.344359639,8.465965329,,0.161954757,0.811084116,
Stam,0.347746754,8.472551562,,0.162024764,0.811084116,
Rps21,0.219951534,9.679126937,,0.162243266,0.811084116,
Eif3k,0.269623642,8.87027862,,0.162629599,0.811084116,
Bub3,0.30999099,8.620202108,,0.162700592,0.811084116,
