ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
Bin1,-0.188649226,10.59014265,,0.001594142,0.099260121,
Mrpl34,0.429773581,8.525455199,,0.001642929,0.100471283,
Gjc2,0.347963686,9.08494175,,0.001643961,0.100471283,
Ssr1,-0.356851763,8.796370814,,0.001650059,0.100471283,
Wasl,0.463335282,8.469932598,,0.001669649,0.101105484,
Trim13,0.365985987,8.812364282,,0.001712098,0.102549071,
Tmem110,-0.436802224,8.492495992,,0.001792611,0.106217039,
Sh3glb1,0.315567017,9.043064893,,0.001830737,0.107895998,
S100a16,-0.258617449,9.62980674,,0.001954761,0.112843534,
Hnmt,-0.455780258,8.445209507,,0.00196588,0.112843534,
Hdgfrp2,-0.393258716,8.579949129,,0.002032437,0.115461297,
BC029214,-0.370702473,8.737324044,,0.002060229,0.116439928,
Stard3,0.381126626,8.658980073,,0.002129999,0.117963421,
Pon2,-0.297343488,9.207022998,,0.002329183,0.126746628,
Itgad,-0.403587294,8.613522897,,0.002336586,0.126746628,
Fuca1,-0.343108971,8.760215707,,0.002357595,0.126746628,
Wrap53,-0.409788794,8.547379316,,0.00238931,0.127828062,
Ccser2,0.437170488,8.460540108,,0.002440338,0.129302711,
Mrpl27,-0.388803138,8.570859622,,0.002497923,0.130472098,
Fnbp1,-0.198976383,9.87777826,,0.002526972,0.131025484,
Elovl1,0.296847195,9.185065198,,0.002574747,0.13171328,
Hexa,0.412803629,8.510157993,,0.002581442,0.13171328,
Bace1,0.371954975,8.75489157,,0.002728641,0.136692519,
Eif1b,0.327735086,8.857743966,,0.002765787,0.13688443,
Tmem165,0.348354213,8.758856248,,0.002774693,0.13688443,
Cstb,-0.286127519,9.214483307,,0.002782153,0.13688443,
Ube2e2,0.320044391,8.92257058,,0.002802218,0.137258868,
Stmn3,0.436088725,8.476474175,,0.002949841,0.142905079,
Fbxo7,-0.332246564,8.881296124,,0.003031533,0.145752845,
Msl1,0.377416915,8.639987794,,0.003041753,0.145752845,
Larp6,-0.306284389,8.992355665,,0.003135818,0.146923217,
Pcnp,-0.297619088,9.016916641,,0.003149049,0.146923217,
Yme1l1,-0.436357382,8.438474395,,0.003178983,0.146923217,
Ntsr2,0.416603586,8.489486241,,0.003193879,0.146923217,
Atp6v0b,0.204502557,9.933969321,,0.003325771,0.150836718,
Snhg9,-0.383984188,8.542535829,,0.003389691,0.151860932,
Zfp281,-0.34138674,8.769682941,,0.003427844,0.152948438,
Slc9a3r2,0.438231666,8.65497703,,0.003475465,0.153827702,
Whsc1l1,0.389492858,8.545302205,,0.00352559,0.1551626,
Lbh,-0.439709349,8.40979284,,0.003533782,0.1551626,
Swt1,0.434019864,8.457331739,,0.003558885,0.15564474,
Hspd1,0.322672728,8.79974284,,0.003754391,0.162308274,
D16Ertd472e,0.379598656,8.564692729,,0.003755431,0.162308274,
Prpf40a,0.370725543,8.621191723,,0.003795794,0.163411898,
Mpv17l,-0.412823102,8.469882447,,0.004248781,0.175377596,
Ap2m1,0.244034714,9.247507043,,0.00434062,0.178499886,
Cdk12,0.393791909,8.507559634,,0.004683482,0.187696914,
Jmjd6,0.397147387,8.49719578,,0.00480618,0.191223518,
Thap11,0.428438264,8.41715029,,0.004988095,0.195636298,
Bdh1,-0.409603639,8.432433622,,0.005086469,0.197396204,
Arid5b,0.318459679,8.83579765,,0.0050867,0.197396204,
Dusp10,-0.364110644,8.618089924,,0.005167986,0.199148146,
Ubl3,0.267138889,9.256259021,,0.005280763,0.202301416,
Klf9,-0.312541437,8.917701414,,0.005286526,0.202301416,
Fth1,-0.114660949,14.30191766,,0.005429527,0.204385731,
Cln3,0.385197234,8.504050931,,0.005520257,0.204385731,
Plekhh1,-0.321076481,8.722442938,,0.005556252,0.204385731,
Rap2a,0.393968702,8.43028015,,0.005576473,0.204385731,
Xaf1,-0.364929035,8.601144817,,0.005594878,0.204385731,
Sccpdh,0.274612428,9.340938559,,0.005607792,0.204385731,
Tmem151a,0.179793906,10.06507446,,0.005690182,0.204385731,
Slc6a1,-0.333475643,8.675703452,,0.005719576,0.204660549,
Tnni1,-0.337239796,8.805399406,,0.005776888,0.206042351,
Tmod1,-0.304483321,9.019401894,,0.005877105,0.207601197,
Rpgrip1,-0.419806014,8.4102784,,0.005952513,0.208825308,
Mat2a,-0.220842132,9.637544146,,0.005963004,0.208825308,
43350,-0.129141492,11.37177512,,0.006027995,0.208825308,
1110038F14Rik,-0.41722304,8.415605803,,0.006096415,0.209888008,
Ubap1,0.424834279,8.415760755,,0.006113243,0.209888008,
Ell2,0.384555038,8.455092468,,0.006167408,0.210436558,
Smarca4,0.412754153,8.446080085,,0.006246076,0.210873119,
C1qbp,-0.381794512,8.500567412,,0.006279423,0.210873119,
Klf6,-0.409070105,8.426925009,,0.006316594,0.210873119,
Rps21,-0.208358983,9.352387981,,0.006358643,0.210873119,
Rela,0.426604004,8.400669458,,0.006437081,0.210873119,
Myef2,-0.404151249,8.439800014,,0.006456465,0.210873119,
Ptpre,-0.37803542,8.479730331,,0.006458526,0.210873119,
Ppp2r5c,-0.396827927,8.453027769,,0.006537789,0.212545634,
1110008F13Rik,0.313990573,8.734710155,,0.00663735,0.212854798,
Yy1,0.396461697,8.465118669,,0.00666318,0.212854798,
6330403K07Rik,-0.332600962,9.139550775,,0.006703428,0.213503207,
Rbm39,0.187691016,9.687014775,,0.006722222,0.213503207,
Ypel3,-0.203905907,9.54554315,,0.006776568,0.213995848,
1700047M11Rik,0.272500624,9.071451762,,0.007061888,0.221735227,
Ube2g1,0.268912418,8.939829049,,0.007090536,0.222002263,
Dnajb4,0.348795624,8.578827682,,0.007117444,0.222213446,
Mkrn1,0.297814796,8.869321934,,0.007170285,0.222497302,
mt-Nd1,-0.101309635,12.30082793,,0.007187101,0.222497302,
Gm42418,0.388931135,8.463150192,,0.007306319,0.225554458,
Chchd4,0.416685085,8.421056396,,0.007515017,0.230587663,
Ikzf2,-0.368433394,8.506169011,,0.007546717,0.230587663,
Aspscr1,0.350876108,8.553381345,,0.007553048,0.230587663,
Cdk5rap2,-0.404964894,8.40941752,,0.007624386,0.231483075,
Fundc2,-0.373119674,8.496560738,,0.007676089,0.232412582,
Igsf11,-0.411124352,8.412933076,,0.007724872,0.232611531,
Fam214a,-0.403709693,8.401488943,,0.007724873,0.232611531,
Mtpn,-0.351845621,8.548405468,,0.007863182,0.235672544,
Gm28322,0.409383326,8.471449552,,0.007905744,0.235672544,
Tbcc,-0.384374904,8.469994514,,0.008023128,0.235672544,
Bcas3,-0.321234873,8.658751429,,0.008075599,0.235672544,
Mapk8ip1,-0.167948079,9.886832066,,0.008241018,0.238133707,
Rnf13,0.126719625,10.80158932,,0.008280039,0.238133707,
Cln5,0.399479564,8.420731164,,0.008297191,0.238133707,
Meg3,-0.410081456,8.604056002,,0.008347026,0.238941757,
Sel1l,0.348106102,8.559873439,,0.00851707,0.24130239,
Tbrg1,-0.351838424,8.520293887,,0.008701561,0.241543099,
Dact3,0.40968034,8.403693073,,0.008979757,0.245572959,
Phf23,0.393612299,8.42835021,,0.009127182,0.248986809,
Rsrc2,0.281576743,8.92982638,,0.009417664,0.252009569,
Rtn4,0.141273561,10.619837,,0.009446934,0.252009569,
Actb,-0.206732734,12.40108477,,0.009506074,0.252449265,
Cttnbp2,-0.337153663,8.610159058,,0.009552289,0.252940767,
Sys1,-0.246459641,9.245880313,,0.009606433,0.253283501,
mt-Cytb,-0.090975687,12.67895241,,0.009672554,0.254418183,
Ogdh,0.367957761,8.481469881,,0.009739307,0.255564048,
Adamts4,0.254367017,9.298421712,,0.009766893,0.255679169,
Scrn1,0.350422231,8.511328609,,0.009822679,0.256358103,
Col9a3,-0.384442483,8.450996423,,0.009998694,0.259895296,
Mars,0.393729829,8.416940818,,0.010043907,0.26045623,
Appl2,-0.328209215,8.594099595,,0.010088268,0.260992504,
Cyth1,-0.282057853,8.828567447,,0.010191962,0.261279506,
Trp53bp2,-0.334950747,8.659282004,,0.010220708,0.261279506,
Ppp1ca,0.252489185,9.032444734,,0.010254696,0.261279506,
Tial1,0.373506962,8.461776473,,0.010319213,0.261279506,
Tra2a,0.295621543,8.775098026,,0.010339328,0.261279506,
Clasp2,-0.370525651,8.909265089,,0.010351243,0.261279506,
Ndrg1,0.171913292,10.03510478,,0.010516362,0.264010983,
Vgll4,0.338104728,8.539157089,,0.010594174,0.265359987,
Schip1,0.348766024,8.529113295,,0.01066578,0.265944714,
Nceh1,-0.333573231,8.561419113,,0.010832216,0.269484998,
Cend1,0.381798963,8.435492108,,0.010864759,0.269685829,
Snrpb,0.248838431,8.990968213,,0.010968988,0.271216538,
Cct7,0.236624981,9.042092707,,0.011125664,0.274308588,
Nfic,-0.333294442,8.589999663,,0.011198856,0.275496845,
Tmem234,-0.239574517,9.015604881,,0.011229495,0.275635336,
Dnajb2,0.23522224,9.230764934,,0.011482485,0.280269708,
Cct4,0.284311039,8.791858809,,0.011516144,0.280269708,
Dcaf11,-0.358421349,8.480483201,,0.011688215,0.281872679,
Rdx,0.200666437,9.518411465,,0.011733308,0.282342332,
